DATE,TITLE,VOTER_NAME
08/15/2018,Councilmember,Rickey D.  Callahan
08/15/2018,Councilmember,Omar Narvaez
08/15/2018,Councilmember,Kevin Felder
08/15/2018,Councilmember,Tennell Atkins
08/15/2018,Councilmember,Mark  Clayton
08/15/2018,Councilmember,Scott  Griggs
08/15/2018,Councilmember,B. Adam  McGough
08/15/2018,Councilmember,Lee M. Kleinman
08/15/2018,Councilmember,Sandy  Greyson
08/15/2018,Councilmember,Jennifer S.  Gates
08/15/2018,Councilmember,Philip T.  Kingston
08/15/2018,Mayor,Michael S. Rawlings
08/15/2018,Deputy Mayor Pro Tem,Adam Medrano
08/15/2018,Councilmember,"Casey Thomas
08/15/2018,Vacant,
08/15/2018,Councilmember,Rickey D.  Callahan
09/18/2018,Councilmember,Kevin Felder
09/18/2018,Councilmember,Tennell Atkins
09/18/2018,Councilmember,Mark  Clayton
09/18/2018,Councilmember,Scott  Griggs
09/18/2018,Councilmember,B. Adam  McGough
09/18/2018,Councilmember,Lee M. Kleinman
09/18/2018,Councilmember,Sandy  Greyson
09/18/2018,Councilmember,Jennifer S.  Gates
09/18/2018,Councilmember,Philip T.  Kingston
09/18/2018,Mayor,Michael S. Rawlings
09/18/2018,Deputy Mayor Pro Tem,Adam Medrano
09/18/2018,Mayor Pro Tem,"Casey  Thomas
09/18/2018,Vacant,
09/18/2018,Councilmember,Rickey D.  Callahan
09/18/2018,Councilmember,Omar Narvaez
09/18/2018,Councilmember,Kevin Felder
09/18/2018,Councilmember,Tennell Atkins
09/18/2018,Councilmember,Mark  Clayton
09/18/2018,Councilmember,Scott  Griggs
04/25/2018,Councilmember,B. Adam  McGough
04/25/2018,Councilmember,Lee M. Kleinman
04/25/2018,Councilmember,Sandy  Greyson
04/25/2018,Councilmember,Jennifer S.  Gates
04/25/2018,Councilmember,Philip T.  Kingston
04/25/2018,Mayor,Michael S. Rawlings
04/25/2018,Deputy Mayor Pro Tem,Adam Medrano
04/25/2018,Councilmember,"Casey Thomas
04/25/2018,Mayor Pro Tem,Dwaine R. Caraway
04/25/2018,Councilmember,Rickey D.  Callahan
04/25/2018,Councilmember,Omar Narvaez
04/25/2018,Councilmember,Kevin Felder
04/25/2018,Councilmember,Tennell Atkins
04/25/2018,Councilmember,Mark  Clayton
04/25/2018,Councilmember,Scott  Griggs
04/25/2018,Councilmember,B. Adam  McGough
04/25/2018,Councilmember,Lee M. Kleinman
04/25/2018,Councilmember,Sandy  Greyson
04/25/2018,Councilmember,Jennifer S.  Gates
05/09/2018,Councilmember,Rickey D.  Callahan
05/09/2018,Councilmember,Omar Narvaez
05/09/2018,Councilmember,Kevin Felder
05/09/2018,Councilmember,Tennell Atkins
05/09/2018,Councilmember,Mark  Clayton
05/09/2018,Councilmember,Scott  Griggs
05/09/2018,Councilmember,B. Adam  McGough
05/09/2018,Councilmember,Lee M. Kleinman
05/09/2018,Councilmember,Sandy  Greyson
05/09/2018,Councilmember,Jennifer S.  Gates
05/09/2018,Councilmember,Philip T.  Kingston
05/09/2018,Mayor,Michael S. Rawlings
08/09/2017,Councilmember,Philip T.  Kingston
02/28/2018,Councilmember,Tennell Atkins
02/28/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
04/25/2018,Councilmember,Philip T.  Kingston
02/28/2018,Councilmember,Scott  Griggs
02/28/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
08/09/2017,Councilmember,Lee M. Kleinman
06/13/2018,Mayor,Michael S. Rawlings
06/13/2018,Deputy Mayor Pro Tem,Adam Medrano
06/13/2018,Councilmember,"Casey Thomas
06/13/2018,Mayor Pro Tem,Dwaine R. Caraway
06/13/2018,Councilmember,Rickey D.  Callahan
06/13/2018,Councilmember,Omar Narvaez
06/13/2018,Councilmember,Kevin Felder
06/13/2018,Councilmember,Tennell Atkins
06/13/2018,Councilmember,Mark  Clayton
06/13/2018,Councilmember,Scott  Griggs
06/13/2018,Councilmember,B. Adam  McGough
06/13/2018,Councilmember,Lee M. Kleinman
06/13/2018,Councilmember,Sandy  Greyson
06/20/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
08/08/2018,Councilmember,Kevin Felder
08/08/2018,Councilmember,Tennell Atkins
08/08/2018,Councilmember,Mark  Clayton
08/08/2018,Councilmember,Scott  Griggs
08/08/2018,Councilmember,B. Adam  McGough
08/08/2018,Councilmember,Lee M. Kleinman
08/08/2018,Councilmember,Sandy  Greyson
08/08/2018,Councilmember,Jennifer S.  Gates
08/08/2018,Councilmember,Philip T.  Kingston
08/08/2018,Mayor,Michael S. Rawlings
08/08/2018,Deputy Mayor Pro Tem,Adam Medrano
08/08/2018,Councilmember,"Casey Thomas
08/08/2018,Mayor Pro Tem,Dwaine R. Caraway
08/08/2018,Councilmember,Rickey D.  Callahan
09/12/2018,Councilmember,Scott  Griggs
09/12/2018,Councilmember,B. Adam  McGough
09/12/2018,Councilmember,Lee M. Kleinman
09/12/2018,Councilmember,Sandy  Greyson
09/12/2018,Councilmember,Jennifer S.  Gates
09/12/2018,Councilmember,Philip T.  Kingston
09/12/2018,Mayor,Michael S. Rawlings
09/12/2018,Deputy Mayor Pro Tem,Adam Medrano
09/12/2018,Mayor Pro Tem,"Casey  Thomas
09/12/2018,Vacant,
09/12/2018,Councilmember,Rickey D.  Callahan
09/12/2018,Councilmember,Omar Narvaez
09/12/2018,Councilmember,Kevin Felder
09/12/2018,Councilmember,Tennell Atkins
09/12/2018,Councilmember,Mark  Clayton
09/12/2018,Councilmember,Scott  Griggs
09/12/2018,Councilmember,B. Adam  McGough
09/12/2018,Councilmember,Lee M. Kleinman
08/09/2017,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
10/03/2018,Councilmember,Sandy  Greyson
04/25/2018,Mayor,Michael S. Rawlings
04/25/2018,Deputy Mayor Pro Tem,Adam Medrano
04/25/2018,Councilmember,"Casey Thomas
04/25/2018,Mayor Pro Tem,Dwaine R. Caraway
04/25/2018,Councilmember,Rickey D.  Callahan
04/25/2018,Councilmember,Omar Narvaez
04/25/2018,Councilmember,Kevin Felder
04/25/2018,Councilmember,Tennell Atkins
04/25/2018,Councilmember,Mark  Clayton
04/25/2018,Councilmember,Scott  Griggs
04/25/2018,Councilmember,B. Adam  McGough
04/25/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
06/13/2018,Councilmember,Mark  Clayton
06/13/2018,Councilmember,Scott  Griggs
[APPOINTMENT OF JOSELITO GIRON]"
06/13/2018,Councilmember,B. Adam  McGough
[APPOINTMENT OF JOSELITO GIRON]"
06/13/2018,Councilmember,Lee M. Kleinman
[APPOINTMENT OF JOSELITO GIRON]"
06/13/2018,Councilmember,Sandy  Greyson
[APPOINTMENT OF JOSELITO GIRON]"
06/13/2018,Councilmember,Jennifer S.  Gates
[APPOINTMENT OF JOSELITO GIRON]"
06/13/2018,Councilmember,Philip T.  Kingston
[APPOINTMENT OF JOSELITO GIRON]"
06/13/2018,Mayor,Michael S. Rawlings
[APPOINTMENT OF JOSELITO GIRON]"
06/13/2018,Deputy Mayor Pro Tem,Adam Medrano
[APPOINTMENT OF JOSELITO GIRON]"
06/13/2018,Councilmember,"Casey Thomas
[APPOINTMENT OF JOSELITO GIRON]"
06/20/2018,Councilmember,Mark  Clayton
08/09/2017,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
10/03/2018,Councilmember,Jennifer S.  Gates
06/27/2018,Councilmember,Philip T.  Kingston
06/27/2018,Mayor,Michael S. Rawlings
06/27/2018,Deputy Mayor Pro Tem,Adam Medrano
06/27/2018,Councilmember,"Casey Thomas
06/27/2018,Mayor Pro Tem,Dwaine R. Caraway
06/27/2018,Councilmember,Rickey D.  Callahan
06/27/2018,Councilmember,Omar Narvaez
06/27/2018,Councilmember,Kevin Felder
06/27/2018,Councilmember,Tennell Atkins
06/27/2018,Councilmember,Mark  Clayton
06/27/2018,Councilmember,Scott  Griggs
06/27/2018,Councilmember,B. Adam  McGough
06/27/2018,Councilmember,Lee M. Kleinman
06/27/2018,Councilmember,Sandy  Greyson
06/27/2018,Councilmember,Jennifer S.  Gates
06/27/2018,Councilmember,Philip T.  Kingston
08/09/2017,Councilmember,Mark  Clayton
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/25/2018,Councilmember,Scott  Griggs
10/03/2018,Councilmember,Philip T.  Kingston
10/03/2018,Mayor,Michael S. Rawlings
10/03/2018,Deputy Mayor Pro Tem,Adam Medrano
10/03/2018,Mayor Pro Tem,"Casey  Thomas
10/03/2018,Vacant,
10/03/2018,Councilmember,Rickey D.  Callahan
10/03/2018,Councilmember,Omar Narvaez
10/03/2018,Councilmember,Kevin Felder
10/03/2018,Councilmember,Tennell Atkins
10/03/2018,Councilmember,Mark  Clayton
10/03/2018,Councilmember,Scott  Griggs
10/03/2018,Councilmember,B. Adam  McGough
10/03/2018,Councilmember,Lee M. Kleinman
10/03/2018,Councilmember,Sandy  Greyson
10/03/2018,Councilmember,Jennifer S.  Gates
10/03/2018,Councilmember,Philip T.  Kingston
10/03/2018,Mayor,Michael S. Rawlings
10/03/2018,Deputy Mayor Pro Tem,Adam Medrano
10/03/2018,Mayor Pro Tem,"Casey  Thomas
10/03/2018,Vacant,
10/03/2018,Councilmember,Rickey D.  Callahan
10/03/2018,Councilmember,Omar Narvaez
08/09/2017,Councilmember,Scott  Griggs
04/25/2018,Mayor,Michael S. Rawlings
04/25/2018,Deputy Mayor Pro Tem,Adam Medrano
04/25/2018,Councilmember,"Casey Thomas
04/25/2018,Mayor Pro Tem,Dwaine R. Caraway
04/25/2018,Councilmember,Rickey D.  Callahan
04/25/2018,Councilmember,Omar Narvaez
04/25/2018,Councilmember,Kevin Felder
04/25/2018,Councilmember,Tennell Atkins
04/25/2018,Councilmember,Mark  Clayton
04/25/2018,Councilmember,Scott  Griggs
04/25/2018,Councilmember,B. Adam  McGough
04/25/2018,Councilmember,Lee M. Kleinman
04/25/2018,Councilmember,Sandy  Greyson
09/18/2018,Mayor Pro Tem,"Casey  Thomas
08/09/2017,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
10/24/2018,Councilmember,Scott  Griggs
10/24/2018,Councilmember,B. Adam  McGough
10/24/2018,Councilmember,Lee M. Kleinman
10/24/2018,Councilmember,Sandy  Greyson
10/24/2018,Councilmember,Jennifer S.  Gates
10/24/2018,Councilmember,Philip T.  Kingston
10/24/2018,Mayor,Michael S. Rawlings
10/24/2018,Deputy Mayor Pro Tem,Adam Medrano
10/24/2018,Mayor Pro Tem,"Casey  Thomas
10/24/2018,Vacant,
10/24/2018,Councilmember,Rickey D.  Callahan
10/24/2018,Councilmember,Omar Narvaez
10/24/2018,Councilmember,Kevin Felder
05/09/2018,Deputy Mayor Pro Tem,Adam Medrano
05/09/2018,Councilmember,"Casey Thomas
05/09/2018,Mayor Pro Tem,Dwaine R. Caraway
05/09/2018,Councilmember,Rickey D.  Callahan
05/09/2018,Councilmember,Omar Narvaez
05/09/2018,Councilmember,Kevin Felder
05/09/2018,Councilmember,Tennell Atkins
05/09/2018,Councilmember,Mark  Clayton
05/09/2018,Councilmember,Scott  Griggs
05/09/2018,Councilmember,B. Adam  McGough
05/09/2018,Councilmember,Lee M. Kleinman
05/09/2018,Councilmember,Sandy  Greyson
05/09/2018,Councilmember,Jennifer S.  Gates
05/09/2018,Councilmember,Philip T.  Kingston
05/09/2018,Mayor,Michael S. Rawlings
05/23/2018,Councilmember,Jennifer S.  Gates
11/14/2018,Councilmember,Scott  Griggs
11/14/2018,Councilmember,B. Adam  McGough
11/14/2018,Councilmember,Lee M. Kleinman
11/14/2018,Councilmember,Sandy  Greyson
11/14/2018,Councilmember,Jennifer S.  Gates
11/14/2018,Councilmember,Philip T.  Kingston
11/14/2018,Mayor,Michael S. Rawlings
11/14/2018,Deputy Mayor Pro Tem,Adam Medrano
11/14/2018,Mayor Pro Tem,"Casey  Thomas
11/14/2018,Vacant,
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
06/27/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
04/11/2018,Councilmember,Omar Narvaez
04/11/2018,Councilmember,Kevin Felder
04/11/2018,Councilmember,Tennell Atkins
04/11/2018,Councilmember,Mark  Clayton
04/25/2018,Deputy Mayor Pro Tem,Adam Medrano
05/23/2018,Councilmember,Philip T.  Kingston
05/23/2018,Mayor,Michael S. Rawlings
05/23/2018,Deputy Mayor Pro Tem,Adam Medrano
05/23/2018,Councilmember,"Casey Thomas
05/23/2018,Mayor Pro Tem,Dwaine R. Caraway
05/23/2018,Councilmember,Rickey D.  Callahan
05/23/2018,Councilmember,Omar Narvaez
05/23/2018,Councilmember,Kevin Felder
05/23/2018,Councilmember,Tennell Atkins
05/23/2018,Councilmember,Mark  Clayton
05/23/2018,Councilmember,Scott  Griggs
05/23/2018,Councilmember,B. Adam  McGough
05/23/2018,Councilmember,Lee M. Kleinman
05/23/2018,Councilmember,Sandy  Greyson
05/23/2018,Councilmember,Jennifer S.  Gates
05/23/2018,Councilmember,Philip T.  Kingston
11/06/2018,Councilmember,Lee M. Kleinman
11/06/2018,Councilmember,Sandy  Greyson
11/06/2018,Councilmember,Jennifer S.  Gates
11/06/2018,Councilmember,Philip T.  Kingston
11/06/2018,Mayor,Michael S. Rawlings
11/06/2018,Deputy Mayor Pro Tem,Adam Medrano
11/06/2018,Mayor Pro Tem,"Casey  Thomas
11/06/2018,Vacant,
11/06/2018,Councilmember,Rickey D.  Callahan
11/06/2018,Councilmember,Omar Narvaez
11/06/2018,Councilmember,Kevin Felder
11/06/2018,Councilmember,Tennell Atkins
11/06/2018,Councilmember,Mark  Clayton
11/06/2018,Councilmember,Scott  Griggs
11/06/2018,Councilmember,B. Adam  McGough
11/06/2018,Councilmember,Lee M. Kleinman
11/06/2018,Councilmember,Sandy  Greyson
11/06/2018,Councilmember,Jennifer S.  Gates
11/06/2018,Councilmember,Philip T.  Kingston
11/06/2018,Mayor,Michael S. Rawlings
11/06/2018,Deputy Mayor Pro Tem,Adam Medrano
11/06/2018,Mayor Pro Tem,"Casey  Thomas
11/06/2018,Vacant,
09/18/2018,Vacant,
09/18/2018,Councilmember,Rickey D.  Callahan
09/18/2018,Councilmember,Omar Narvaez
09/18/2018,Councilmember,Kevin Felder
09/18/2018,Councilmember,Tennell Atkins
09/18/2018,Councilmember,Mark  Clayton
09/18/2018,Councilmember,Scott  Griggs
09/18/2018,Councilmember,B. Adam  McGough
09/18/2018,Councilmember,Lee M. Kleinman
09/18/2018,Councilmember,Sandy  Greyson
08/09/2017,Deputy Mayor Pro Tem,Adam Medrano
04/25/2018,Councilmember,"Casey Thomas
04/25/2018,Mayor Pro Tem,Dwaine R. Caraway
04/25/2018,Councilmember,Rickey D.  Callahan
04/25/2018,Councilmember,Omar Narvaez
04/25/2018,Councilmember,Kevin Felder
04/25/2018,Councilmember,Tennell Atkins
04/25/2018,Councilmember,Mark  Clayton
04/25/2018,Councilmember,Scott  Griggs
04/25/2018,Councilmember,B. Adam  McGough
04/25/2018,Councilmember,Lee M. Kleinman
04/25/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Scott  Griggs
04/11/2018,Councilmember,B. Adam  McGough
04/11/2018,Councilmember,Lee M. Kleinman
04/11/2018,Councilmember,Sandy  Greyson
04/11/2018,Councilmember,Jennifer S.  Gates
04/11/2018,Councilmember,Philip T.  Kingston
04/11/2018,Mayor,Michael S. Rawlings
04/11/2018,Deputy Mayor Pro Tem,Adam Medrano
04/11/2018,Councilmember,"Casey Thomas
04/11/2018,Mayor Pro Tem,Dwaine R. Caraway
04/11/2018,Councilmember,Rickey D.  Callahan
06/27/2018,Councilmember,Lee M. Kleinman
06/27/2018,Councilmember,Sandy  Greyson
06/27/2018,Councilmember,Jennifer S.  Gates
06/27/2018,Councilmember,Philip T.  Kingston
06/27/2018,Mayor,Michael S. Rawlings
06/27/2018,Deputy Mayor Pro Tem,Adam Medrano
06/27/2018,Councilmember,"Casey Thomas
06/27/2018,Mayor Pro Tem,Dwaine R. Caraway
06/27/2018,Councilmember,Rickey D.  Callahan
06/27/2018,Councilmember,Omar Narvaez
06/27/2018,Councilmember,Kevin Felder
06/27/2018,Councilmember,Tennell Atkins
06/27/2018,Councilmember,Mark  Clayton
06/27/2018,Councilmember,Scott  Griggs
06/27/2018,Councilmember,B. Adam  McGough
06/27/2018,Councilmember,Lee M. Kleinman
06/27/2018,Councilmember,Lee M. Kleinman
